format version:	1.3						
date:	11/7/16						
default chronostrat:	UNESCO						
age units:	Ma						
chart title:	TimeScale Creator GTS2016 chart						
							
							
Standard Chronostratigraphy	:	Eon	Era	Sub-Era	Period	Sub-Period	Epoch
	Jurassic	201.36		"Base of Jurassic (base of Psiloceras spelae, by definition).  Age of Schoene et al. (2010) recalculated by them in Wotzlaw et al. (2015) as 201.36 _ 0.17 Ma."	52/178/201		
	Triassic	251.9		"FAD of H. parvus = Base of Triassic, by definition at Meishan GSSP boundary with dating = 251.90 Ma = FIXED age (Burgess et al., 2014).  In GTS2012, was 252.16 Ma (from Shen et al., 2010; Bowring ages in Lopingian paper). VERY brief.   Kozur (2003) estimates duration of H. parvus zone to be 0.1 myr, which is fairly consistent with Sweet's scaling."	129/43/146		
	Permian	298.88		Base PERMIAN is coeval with FAD of Streptognathodus isolatus conodont	240/64/40		
	Carboniferous	358.94	dashed		103/165/153		
	Devonian	419.2		Base of Devonian is immediately below the lowest occurrence of the graptolite species Monograptus uniformis	203/140/55		
	Silurian	443.83		Base of Silurian coincides with incoming of graptolite Parakidograptus Akidograptus ascensus	179/225/182		
	Ordovician	485.37		Base of Ordovician coincides with the first appearance of the conodont Iapetognathus fluctivagus	0/146/112		
	Cambrian	541		FAD of trace fossil Tr. pedum	127/160/86		
	Ediacaran	635		Ediacara = from Australian Aboriginal term for place near water. ?Earliest metazoan life?	254/217/106		
	Cryogenian	720		"Cryos = ice, Genesis = birth. Base, formerly at 850 Ma, was re-defined in 2014/2015 as onset of the first Global glaciation."	254/204/92		
	Tonian	1000		Tonas = stretch. Major platform cover expansion	254/191/78		
	Stenian	1200		"Stenos = narrow. ""Narrow belts of intense metamorphism  & deformation"""	254/217/154		
	Ectasian	1400		"Ectasis = extension. ""Continued expansion of platform covers"""	253/204/138		
	Calymmian	1600		"Calymma = cover. ""Platform covers"""	253/192/122		
	Statherian	1800		"Statheros = stable, firm. ""Stabilization of cratons; Cratonization"""	248/117/167		
	Orosirian	2050		"Orosira = mountain range. ""Global orogenic period"""	247/104/152		
	Rhyacian	2300		"Rhyax = stream of lava. ""Injection of layered complexes"""	247/91/137		
	Siderian	2500		"Sideros = iron. ""Banded iron formations"" (BIF)"	247/79/124		
	 	2800			249/155/193		
	 	3200			247/104/169		
	 	3600			244/68/159		
	 	4000			218/3/127		
	 	4600			174/2/126		
							
							
Sub-Period	block	50	UNESCO-Named		off		
	TOP	299					
	Pennsylvanian	323.23			153/194/181		
	Mississippian	358.94			103/143/102		
							
							
							
Epoch	block	100	UNESCO-Named				
	TOP	0					
	Holocene	0.0118		Base Holocene = End of Younger Dryas cold interval.  Age relative to AD2000 from from ice-core layers at Greenland GSSP = 11.784 (11.8) ka.  Potential divisons (Early/Middle/Late) = 8.2 and 4.2 ka global environmental events.	254/242/224		
	Pleistocene	2.58		"Major expansion of N.Hemis. glaciation begins near Guss/Matuyama boundary [accepted in 2009 for base of ""Quaternary"", hence base of revised ""Pleistocene""].  Gelasian stage was transferred to Pleistocene series by IUGS/ICS/INQUA (submitted May 2007; but was not ratified by IUGS until summer 2009 after another round of ICS voting and resubmission).  This enabled formalization of the Quaternary as an official system of the international scale.  NOTE: Was at 2.588 Ma, which is mid-point of underlying Sapropel, which Rio et al (1998) had recommended to also be age of base-Gelasian.  However, Gibbard and Head (2009) noted the offset; therefore recommended 2.58 (not 2.59); which is used here.  "	255/242/174		
	Pliocene	5.333		"PLIOCENE --  Base of Pliocene is traditionally placed at base of Trubi Formation (base of Zanclean Stage) representing restoration of marine conditions in the Mediterranean following the late Miocene (Messinian) dessication.  This event occurs 5 precession cycles below the Thvera (C3n.4n) Polarity Subchron, or at 5.32 Ma [Hilgen and Langereis, 1993, ""A critical re-evaluation of the Miocene/Pliocene boundary as defined in the Mediterranean"", Earth Planet. Sci. Lett., 118: 167-179]. "	255/255/153		
	Miocene	23.03		"Base of Miocene (base of Neogene Period) = base of Chron C6Cn.2n. The GSSP of the Oligocene/Miocene boundary is defined as 35m level of Rigorosa Formation in the Lemme-Carrosio sections of NE Italy, corresponding also to the FAD of Foram Globorotalia kugleri (base of Foram Zone M1) (Berggren et al., 1995; Steininger et al., in press)"	255/255/0		
	Oligocene	33.9		"Eocene/Oligocene boundary is defined at Massignano (central Italy) at the LAD of Hantkenina spp. and calibrated to magnetics, plus dated by ash beds as ca. 33.7 Ma.  Base of Rupellian is at Chron C13r.86.  Essentially, the ""top of Eocene"" is defined by a LAD, rather than a ""base of Oligocene"" (e.g., using an FAD)."	253/192/122		
	Eocene	55.96		"Base of Eocene is 1.142 myr after beginning of Chron C24r, or ca. Chron C24r.36 (actually C24r.37 using revised C24r-duration of 9Mar2012) = decision of Paleogene-chapter group for GTS2012.  [NOTES:  This is NOT tied proportionally within Chron C24r; but some indicate it as C24r.36 (e.g., used in Agnini et al'07 for calibrating nannofossil datums near boundary).  Age used here is from U-Pb => 0.05 myr lower.  Base of Eocene is 0.94 myr (0.98 in another table) above top C25n according to cycle stratigraphy.]"	253/180/108		
	Paleocene	66.04		"Mesozoic/Cenozoic boundary event is approx. Chron C29r.5 in total C29r span of ca. 710 kyr, according to cycles; Husson et al., 2011; Thibault et al., 2012); which agrees with Ar-Ar (Renne et al., 2013); but cycle-scaling relative to 405-kyr in La2011 astronomical solution (e.g., Hilgen et al., 2014) indicates 65.97 (about 70kyr younger)"	253/167/95		
	Late	100.5		"Base-Cenomanian is base of foraminifer Rotalipora globotruncanoides, which is 6m lower than base of M. mantelli ammonite Zone at the GSSP section.  The uppermost part of the N. caractanense Subzone (basal Subzone of Cenomanian) is ~99.8 ±0.37 Ma (Obradovich et al., 2002), and cycle stratigraphy scaling of its duration (0.44 myr) = 100.25 Ma, and a slight 0.25 offset to the GSSP marker below implies the base of the Cenomanian is 100.5 ±0.4 Ma."	166/216/74		
	Early	145.01	dotted	Not yet defined.  Higher option is Base of Chron M18r for GTS2012.	140/205/87		
	 - 	145.73		Voting by Jur-Cret Boundary Working Group (June2016) was to use the Base of Calp. alpina zone (Calp. B)	140/205/87		
	Late	163.1		"Base of Q. mariae ammonite zone.  GSSP is not yet decided, but this level at Redcliff (England) candidate has been correlated to 25% up in Chron M37n.1n of Deep-tow extension to M-Sequence."	179/227/238		
	Middle	174.15		Base of L. opalinum ammonite zone at Fuentelsaz (Spain).  	128/207/216		
	Early	201.36		"Base of Jurassic (base of Psiloceras spelae, by definition).  Age of Schoene et al. (2010) recalculated by them in Wotzlaw et al. (2015) as 201.36 _ 0.17 Ma."	66/174/208		
	Late	237		"EARLY CARNIAN - BUT:  ""Cordevolian"" is a controversial additional subdivision of Early Carnian that equates to D. canadensis and Trachyceras aon Ammonoid Zones.  Bachmann (Aug2015 to J.Ogg): ""As pointed out by KOZUR (2003), the priority subdivision of the Carnian into the Cordevolian, Julian and Tuvalian substages (MOJSOSIVICS et al. 1895) should be preserved. Lumping the original Cordevolian and Julian into a new extended Julian substage (e. g. KRYSTYN 1974) violates the priority without convincing faunistic reason. Very characteristic for the Cordevolian is the co-occurrence of Ladinian and Carnian elements in all fossil groups, whereas the Ladinian elements disappear around the base of the Julian. The high percentage of Ladinian elements, in addition to the first occurrence of many Carnian forms, is the reason why the Cordevolian was for a long time considered to represent the youngest substage of the Ladinian.  The Julian begins with the Trachyceras aonoides Zone, which is characterised by both the disappearance of the last Ladinian holdovers and by the appearance of numerous new Carnian or Carnian-Norian types in all stratigraphically important fossil groups, especially well recognisable in radiolarian faunas. """	189/140/195		
	Middle	246.8		"EARLY Anisian is traditionally the  Aegean substage that begins in the Tethyan realm with the Japonites welteri Ammonoid zone.  But, base of Conodont Ch. timorensis is used here for base of Anisian, hence of Aegean."	177/104/177		
	Early	251.9		"FAD of H. parvus = Base of Triassic, by definition at Meishan GSSP boundary with dating = 251.90 Ma = FIXED age (Burgess et al., 2014).  In GTS2012, was 252.16 Ma (from Shen et al., 2010; Bowring ages in Lopingian paper). VERY brief.   Kozur (2003) estimates duration of H. parvus zone to be 0.1 myr, which is fairly consistent with Sweet's scaling."	152/57/153		
	Lopingian	259.81		Late Permian	251/167/148		
	Guadalupian	272.3		Middle Permian	251/116/92		
	Cisuralian	298.88		Base PERMIAN is coeval with FAD of Streptognathodus isolatus conodont	239/88/69		
	Late Penn.	306.65		Late Pennsylvanian	191/208/186		
	Middle Penn.	314.6	dashed	Middle Pennsylvanian	166/199/183		
	Early Penn.	323.23		Early Pennsylvanian	140/190/180		
	Late Miss.	330.92	dashed	Late Mississippian	179/190/108		
	Middle Miss.	346.73		Middle Mississippian	153/180/108		
	Early Miss.	358.94	dashed	Early Mississippian	128/171/108		
	Late	382.69		Base of Frasnian	241/225/157		
	Middle	393.25		Base of Eifelian	241/200/104		
	Early	419.2		Base of Devonian is immediately below the lowest occurrence of the graptolite species Monograptus uniformis	229/172/77		
	Pridoli	422.96		Base of Pridoli Series coincides with the lowest occurrence of the graptolite species Monograptus parultimus	230/245/225		
	Ludlow	427.36	dashed	DASH -- Base of Ludlow and Gorstian is just below the base of the Neodiversograptus nilssoni graptolite zone (age estimate set as Base of Zone)	191/230/207		
	Wenlock	433.35	dashed	"DASHED Imprecise. Base of Wenlock at GSSP is between the base of acritarch biozone 5 and LAD of conodont Pterospathodus amorphognathoides. The current GSSP does not coincide with the base of the Cyrtograptus centrifugus Biozone, as was supposed when the GSSP was defined. Restudy recommends a slightly higher and correlatable level on conodonts -- the Ireviken datum 2, which coincides approximately with the base of the murchisoni Graptolite Biozone (about 0.1 myr higher)."	179/225/194		
		433.46	dashed	DASHED lower possibility = base of centrifugus graptolite zone. 	179/225/194		
	Llandovery	443.83		Base of Silurian coincides with incoming of graptolite Parakidograptus Akidograptus ascensus	153/215/179		
	Late	458.36		Base of Sandbian coincides with the lowest occurrence of the graptolite Nemagraptus gracilis	127/202/147		
	Middle	469.96		"Base of Dapingian coincides with FAD of conodont Baltoniodus triangularis.  Boundary level is close to the FAD of graptolite, Isograptus victoriae victoriae (used for age assignment; Spline-CONOP12 table)"	77/180/126		
	Early	485.37		Base of Ordovician coincides with the first appearance of the conodont Iapetognathus fluctivagus	26/157/111		
	Furongian	497		Base of the Paibian is base of the G. reticulatus Trilobite Zone.	179/224/149		
	Epoch/Series 3	509	dashed	Oryctocephalus indicus FAD.  Supported by 510.7¯Ma age from LIP in Australia that may have triggered the ROECE excursion and mass extinction.	166/207/134		
	Epoch/Series 2	520	dashed	First occurrence of TRILOBITES; rounded from 521 Ma in GTS2012 following advice of Landing et al (2013) to avoid looking precise	153/192/120		
	Terreneuvian	541		FAD of trace fossil Tr. pedum	140/176/108		
							
							
							
Sub-Epoch	block	60	UNESCO-Named		off	"Special set (not official) as used by Exxon, etc.; but with Paleocene divisions as suggested by ICS Paleocene subcommission (not Exxon's usage)"	
	Top	0.0118		Base Holocene = End of Younger Dryas cold interval.  Age relative to AD2000 from from ice-core layers at Greenland GSSP = 11.784 (11.8) ka.	254/242/224		
	Lt. & M.	0.773	dashed	"Ionian is the probably name for this ""M. Pleistocene"" interval.  Base = base of Brunhes Chron"	255/242/199		
	Early	2.58		"Major expansion of N.Hemis. glaciation begins near Guss/Matuyama boundary [accepted in 2009 for base of ""Quaternary"", hence base of revised ""Pleistocene""].  Gelasian stage was transferred to Pleistocene series by IUGS/ICS/INQUA (submitted May 2007; but was not ratified by IUGS until summer 2009 after another round of ICS voting and resubmission).  This enabled formalization of the Quaternary as an official system of the international scale.  NOTE: Was at 2.588 Ma, which is mid-point of underlying Sapropel, which Rio et al (1998) had recommended to also be age of base-Gelasian.  However, Gibbard and Head (2009) noted the offset; therefore recommended 2.58 (not 2.59); which is used here.  "	255/242/186		
	Late	3.6		"Zanclean/Piacenzian boundary = cycle near base of Gauss Normal; working definition of Langereis and Hilgen, 1991"	255/255/191		
	Early	5.333		"PLIOCENE --  Base of Pliocene is traditionally placed at base of Trubi Formation (base of Zanclean Stage) representing restoration of marine conditions in the Mediterranean following the late Miocene (Messinian) dessication.  This event occurs 5 precession cycles below the Thvera (C3n.4n) Polarity Subchron, or at 5.32 Ma [Hilgen and Langereis, 1993, ""A critical re-evaluation of the Miocene/Pliocene boundary as defined in the Mediterranean"", Earth Planet. Sci. Lett., 118: 167-179]. "	255/255/179		
	Late	11.625		"Base of Tortonian Stage = Midpoint sapropel 76 in the Monte dei Corvi section, Italy (Hilgen et al., 2003)"	255/255/102		
	Middle	15.97		Base of Langhian = base of Chron C5Br in GTS2004	255/255/77		
	Early	23.03		"Base of Miocene (base of Neogene Period) = base of Chron C6Cn.2n. The GSSP of the Oligocene/Miocene boundary is defined as 35m level of Rigorosa Formation in the Lemme-Carrosio sections of NE Italy, corresponding also to the FAD of Foram Globorotalia kugleri (base of Foram Zone M1) (Berggren et al., 1995; Steininger et al., in press)"	255/255/51		
	Late	28.09	dashed	"Base of Chattian (Early/Late Oligocene boundary ) has not been defined (as of 2011).  Base of Chattian (working version) base of Chron C10n.1n (same as GTS08).  [NOTE: Base is potentially at ~70% up in ""undifferentiated Chron C10n"" in candidate GSSP in Italy (Coccioni et al., 2008), which would project as equivalent to C10n.1n.4.]  Potentially at 2/3rds up in undifferentiated Chron C10n in candidate GSSP in Italy (Coccioni et al., 2008).  Assigned in GTS08 as base of Chron C10n.1n = Foram Zone P21a/P21b boundary (=LAD of common Chiloguembelina occurrence => last occurrence defines top of Rupelian, rather than an FAD defining base of Chattian) following Berggren et al. (1995).  Ideally, this level would be at the base of polarity chron (C9r or C10n.1n), which provides a global marker."	254/230/170		
	Early	33.9		"Eocene/Oligocene boundary is defined at Massignano (central Italy) at the LAD of Hantkenina spp. and calibrated to magnetics, plus dated by ash beds as ca. 33.7 Ma.  Base of Rupellian is at Chron C13r.86.  Essentially, the ""top of Eocene"" is defined by a LAD, rather than a ""base of Oligocene"" (e.g., using an FAD)."	254/217/154		
	Late	37.99	dashed	"Base of Priabonian assigned here as base of Chron C17n.1n.  However; at Alano (candidate GSSP section in Italy), the RARE FAD of C. oamaruensis and proposed GSSP level is 10% up in C17n.2n (about 0.3 myr older)"	253/205/161		
	Middle	47.84		"Base of Lutetian is Chron C21r.6 (decision of Paleogene-chapter group of GTS2012).  Base of Lutetian (GSSP ratified Feb 2011) is base of nannofossil Blackites inflatus at Gorrondatxe section in Spain.  This level is 39 precession cycles (0.78myr if 20 kyr; 0.819 if 21 kyr) above base of Chron C21r at Otsakar section near GSSP one (using 20kyr/cycle for average precession at 50 Ma = computation used here => this is at C21r.77 using GTS2012 spline.  NOTE:  Using Lutetian GSSP proposal's assignment of ""uncertain = R"" at top of C21r (as they indicate with their labeled C21n/C21r level), then this was lower -- 40% up in C21r -- age from spline-fit with cycles.  Therefore, this is about 0.78 myr above the GTS04 working placement as base of C21r (following Berggren et al'95)"	252/180/130		
	Early	55.96		"Base of Eocene is 1.142 myr after beginning of Chron C24r, or ca. Chron C24r.36 (actually C24r.37 using revised C24r-duration of 9Mar2012) = decision of Paleogene-chapter group for GTS2012.  [NOTES:  This is NOT tied proportionally within Chron C24r; but some indicate it as C24r.36 (e.g., used in Agnini et al'07 for calibrating nannofossil datums near boundary).  Age used here is from U-Pb => 0.05 myr lower.  Base of Eocene is 0.94 myr (0.98 in another table) above top C25n according to cycle stratigraphy.]"	252/167/115		
	Late	59.24		"Base of Thanetian (Ratified by ICS/IUGS (Spr'08):  Base of magnetic polarity Chron C26n = same as temporary assignment in GTS2004 (GSSP in Zumaya, Spain), as in Berggren et al., 1995"	253/191/111		
	Middle	61.61		"Ratified by ICS/IUGS (Spr'08):  Onset of a carbon isotope shift and sea-level drop (Exxon/Hardenbol sequence boundary ""Sel1""); near diversification of the Fasciculith group of calcareous nannoplankton, preceding the lowest Fasciculithus tympaniformis (base of nannoplankton zone NP5).  Approximately 0.58 myr (ca. 32 precession cycles) above the base of magnetic polarity Chron C26r.  [Revised definition is about 0.6 myr younger than GTS04 provisional version (which was base of Chron C26r)]  (61.1Ma -- BUT SHOULD BE 61.0 Ma in GTS04 magscale) "	254/191/101		
	Early	66.04		"Mesozoic/Cenozoic boundary event is approx. Chron C29r.5 in total C29r span of ca. 710 kyr, according to cycles; Husson et al., 2011; Thibault et al., 2012); which agrees with Ar-Ar (Renne et al., 2013); but cycle-scaling relative to 405-kyr in La2011 astronomical solution (e.g., Hilgen et al., 2014) indicates 65.97 (about 70kyr younger)"	253/180/98		
							
							
							
Age/Stage	block	110	UNESCO-Named				
	TOP	0.011784		Base Holocene = End of Younger Dryas cold interval.  Age relative to AD2000 from from ice-core layers at Greenland GSSP = 11.784 (11.8) ka.	254/242/224		
	"Lt. Pleist. (""Tarentian"")"	0.13		"Tarentian (Tarantian) is the probable name for this ""Lt. Pleistocene"" interval after its marine formation near Taranto, Italy, which spans the last Interglacial and following glacial cycle.  Base = Eemian Interglacial interval.  Ca. 130 ka (Head and Gibbard, 2015); was 126 ka in GTS2012."	255/242/211 		
	M. Pleist.	0.773		"Ionian is the probably name for this ""M. Pleistocene"" interval.  Base = base of Brunhes Chron"	255/242/199		
	Calabrian	1.8		"Calabrian (former base of PLEISTOCENE pre-2009) --  The Calabrian begins with ""base of a claystone unit conformably overlying sapropel marker bed ""e"" in the Vrica section of Calabria in southern Italy = MIS 64/65 transition in oceans.  This is at or near the top of the Olduvai (C2n) Normal polarity chron.  An age of 1.806 Ma for mid-point of underlying sapropel was previously used for the GSSP age also; but Cita et al (2012; Episodes for re-ratification) noted the offset, therefore recommended a 1.80 age."	255/242/186		
	Gelasian	2.58		"Major expansion of N.Hemis. glaciation begins near Guss/Matuyama boundary [accepted in 2009 for base of ""Quaternary"", hence base of revised ""Pleistocene""].  Gelasian stage was transferred to Pleistocene series by IUGS/ICS/INQUA (submitted May 2007; but was not ratified by IUGS until summer 2009 after another round of ICS voting and resubmission).  This enabled formalization of the Quaternary as an official system of the international scale.  NOTE: Was at 2.588 Ma, which is mid-point of underlying Sapropel, which Rio et al (1998) had recommended to also be age of base-Gelasian.  However, Gibbard and Head (2009) noted the offset; therefore recommended 2.58 (not 2.59); which is used here.  "	255/237/179		
	Piacenzian	3.6		"Zanclean/Piacenzian boundary = cycle near base of Gauss Normal; working definition of Langereis and Hilgen, 1991"	255/255/191		
	Zanclean	5.333		"PLIOCENE --  Base of Pliocene is traditionally placed at base of Trubi Formation (base of Zanclean Stage) representing restoration of marine conditions in the Mediterranean following the late Miocene (Messinian) dessication.  This event occurs 5 precession cycles below the Thvera (C3n.4n) Polarity Subchron, or at 5.32 Ma [Hilgen and Langereis, 1993, ""A critical re-evaluation of the Miocene/Pliocene boundary as defined in the Mediterranean"", Earth Planet. Sci. Lett., 118: 167-179]. "	255/255/179		
	Messinian	7.246		"Base of Messinian (Top of Tortonian) is linked to the FAD of Globorotalia conomiozea (Foram) in the Falconara section in Sicily (e.g., Colalongo et al., 1979); and this datum is within polarity chron C3Br.1r in Crete with an astronomical chronology age of 7.1 Ma to this level (Krijgsman et al., 1994) (summarized in Berggren et al., 1995).  Radiometric dating yields 7.26 ±0.1 Ma (Vai et al., 1993), which is almost within the magnetostratigraphic estimate."	255/255/115		
	Tortonian	11.625		"Base of Tortonian Stage = Midpoint sapropel 76 in the Monte dei Corvi section, Italy (Hilgen et al., 2003)"	255/255/102		
	Serravallian	13.82		Base-Serravallian GSSP (rratified 2007) = major Mi-3b cooling = Seq Boundary TB2.5 = Hardenbol's Ser 1.  Astronomical-tuned age is 13.82 Ma.   Approximately 0.65 myr (ca. 32 precession cycles) above the base of magnetic polarity Chron C26r.   Above (13.65 Ma) is the lowest occurrence of nannofossil Sphenolithus heteromorphus (which was working base of Serravallian in GTS2004).	255/255/89		
	Langhian	15.97		Base of Langhian = base of Chron C5Br in GTS2004	255/255/77		
	Burdigalian	20.44	dashed	"Base-Burdigalian -- Current working group (cited in Lourens et al., GTS2004) adopted age of FAD of nanno H. ampliaperta, as calibrated at Ceara Rise..  Berggren et al (1995) assigned base of Burdigalian to FAD of foram ""Globigerinoides"" altiaperturus.  Base of Burdigalian (working version) = approx. base of Chron C6An.1r (used here) or of Chron C6An.1n"	255/255/65		
	Aquitanian	23.03		"Base of Miocene (base of Neogene Period) = base of Chron C6Cn.2n. The GSSP of the Oligocene/Miocene boundary is defined as 35m level of Rigorosa Formation in the Lemme-Carrosio sections of NE Italy, corresponding also to the FAD of Foram Globorotalia kugleri (base of Foram Zone M1) (Berggren et al., 1995; Steininger et al., in press)"	255/255/51		
	Chattian	28.09	dashed	"Base of Chattian (Early/Late Oligocene boundary ) has not been defined (as of 2011).  Base of Chattian (working version) base of Chron C10n.1n (same as GTS08).  [NOTE: Base is potentially at ~70% up in ""undifferentiated Chron C10n"" in candidate GSSP in Italy (Coccioni et al., 2008), which would project as equivalent to C10n.1n.4.]  Potentially at 2/3rds up in undifferentiated Chron C10n in candidate GSSP in Italy (Coccioni et al., 2008).  Assigned in GTS08 as base of Chron C10n.1n = Foram Zone P21a/P21b boundary (=LAD of common Chiloguembelina occurrence => last occurrence defines top of Rupelian, rather than an FAD defining base of Chattian) following Berggren et al. (1995).  Ideally, this level would be at the base of polarity chron (C9r or C10n.1n), which provides a global marker."	254/230/170		
	Rupelian	33.9		"Eocene/Oligocene boundary is defined at Massignano (central Italy) at the LAD of Hantkenina spp. and calibrated to magnetics, plus dated by ash beds as ca. 33.7 Ma.  Base of Rupellian is at Chron C13r.86.  Essentially, the ""top of Eocene"" is defined by a LAD, rather than a ""base of Oligocene"" (e.g., using an FAD)."	254/217/154		
	Priabonian	37.99	dashed	"Base of Priabonian assigned here as base of Chron C17n.1n.  However; at Alano (candidate GSSP section in Italy), the RARE FAD of C. oamaruensis and proposed GSSP level is 10% up in C17n.2n (about 0.3 myr older)"	253/205/161		
	Bartonian	41.03	dashed	"Base of Bartonian (working version) assigned as base of Chron C18r.  The base of Bartonian is typically correlated to a level within Nanno Zone NP16, and closely associated with LAD of Reticulofenestra reticulata (Leg 320-321 cite same chron-age scaling as chron-age scaling as Berggren et al. (1995); = ca. C19r.7.  Berggren et al. (1995) equate to the TOP of polarity chron C19n (base of C18r), implying an age estimate of 41.25 Ma."	253/192/145		
	Lutetian	47.84		"Base of Lutetian is Chron C21r.6 (decision of Paleogene-chapter group of GTS2012).  Base of Lutetian (GSSP ratified Feb 2011) is base of nannofossil Blackites inflatus at Gorrondatxe section in Spain.  This level is 39 precession cycles (0.78myr if 20 kyr; 0.819 if 21 kyr) above base of Chron C21r at Otsakar section near GSSP one (using 20kyr/cycle for average precession at 50 Ma = computation used here => this is at C21r.77 using GTS2012 spline.  NOTE:  Using Lutetian GSSP proposal's assignment of ""uncertain = R"" at top of C21r (as they indicate with their labeled C21n/C21r level), then this was lower -- 40% up in C21r -- age from spline-fit with cycles.  Therefore, this is about 0.78 myr above the GTS04 working placement as base of C21r (following Berggren et al'95)"	252/180/130		
	Ypresian	55.96		"Base of Eocene is 1.142 myr after beginning of Chron C24r, or ca. Chron C24r.36 (actually C24r.37 using revised C24r-duration of 9Mar2012) = decision of Paleogene-chapter group for GTS2012.  [NOTES:  This is NOT tied proportionally within Chron C24r; but some indicate it as C24r.36 (e.g., used in Agnini et al'07 for calibrating nannofossil datums near boundary).  Age used here is from U-Pb => 0.05 myr lower.  Base of Eocene is 0.94 myr (0.98 in another table) above top C25n according to cycle stratigraphy.]"	252/167/115		
	Thanetian	59.24		"Base of Thanetian (Ratified by ICS/IUGS (Spr'08):  Base of magnetic polarity Chron C26n = same as temporary assignment in GTS2004 (GSSP in Zumaya, Spain), as in Berggren et al., 1995"	253/191/111		
	Selandian	61.61		"Ratified by ICS/IUGS (Spr'08):  Onset of a carbon isotope shift and sea-level drop (Exxon/Hardenbol sequence boundary ""Sel1""); near diversification of the Fasciculith group of calcareous nannoplankton, preceding the lowest Fasciculithus tympaniformis (base of nannoplankton zone NP5).  Approximately 0.58 myr (ca. 32 precession cycles) above the base of magnetic polarity Chron C26r.  [Revised definition is about 0.6 myr younger than GTS04 provisional version (which was base of Chron C26r)]  (61.1Ma -- BUT SHOULD BE 61.0 Ma in GTS04 magscale) "	254/191/101		
	Danian	66.04		"Mesozoic/Cenozoic boundary event is approx. Chron C29r.5 in total C29r span of ca. 710 kyr, according to cycles; Husson et al., 2011; Thibault et al., submitted)"	253/180/98		
